subjID,targetWord,age,sex,dist,t2_correct,site
id0001,chor,5.68104038329911,m,semantic,1,lpz
id0001,rucola,5.68104038329911,m,other,0,lpz
id0001,gazelle,5.68104038329911,m,other,1,lpz
id0001,nelke,5.68104038329911,m,other,1,lpz
id0001,cello,5.68104038329911,m,other,1,lpz
id0002,chor,6.453114305270363,m,semantic,1,lpz
id0002,rucola,6.453114305270363,m,semantic,1,lpz
id0002,nelke,6.453114305270363,m,semantic,1,lpz
id0003,rucola,6.529774127310062,m,semantic,0,lpz
id0003,cello,6.529774127310062,m,other,0,lpz
id0004,chor,5.686516084873374,f,semantic,1,lpz
id0004,ruine,5.686516084873374,f,semantic,1,lpz
id0004,kajak,5.686516084873374,f,other,1,lpz
id0004,nelke,5.686516084873374,f,semantic,1,lpz
id0004,cello,5.686516084873374,f,semantic,0,lpz
id0005,chor,3.030800821355236,m,other,0,lpz
id0005,rucola,3.030800821355236,m,semantic,0,lpz
id0005,palme,3.030800821355236,m,semantic,1,lpz
id0005,gazelle,3.030800821355236,m,semantic,0,lpz
id0005,pfifferling,3.030800821355236,m,semantic,0,lpz
id0005,nelke,3.030800821355236,m,other,0,lpz
id0005,ventilator,3.030800821355236,m,other,1,lpz
id0005,labyrinth,3.030800821355236,m,other,0,lpz
id0005,ozean,3.030800821355236,m,other,0,lpz
id0005,hummer,3.030800821355236,m,semantic,1,lpz
id0005,cello,3.030800821355236,m,other,1,lpz
id0005,kajak,3.030800821355236,m,other,0,lpz
id0005,flunder,3.030800821355236,m,semantic,0,lpz
id0006,ruine,5.4428473648186175,m,semantic,1,lpz
id0006,chor,5.4428473648186175,m,semantic,0,lpz
id0006,rucola,5.4428473648186175,m,semantic,0,lpz
id0006,gazelle,5.4428473648186175,m,other,1,lpz
id0006,orchidee,5.4428473648186175,m,semantic,1,lpz
id0006,nelke,5.4428473648186175,m,other,0,lpz
id0006,hummer,5.4428473648186175,m,semantic,1,lpz
id0006,cello,5.4428473648186175,m,other,0,lpz
id0006,kajak,5.4428473648186175,m,semantic,0,lpz
id0006,flunder,5.4428473648186175,m,semantic,0,lpz
id0006,zucchini,5.4428473648186175,m,semantic,1,lpz
