id,trial,word_class,target_word,chosen_word,chosen_category,chosen_position,correct,timestamp,responsetime_ms,tdate,Gender,Languages;;,dob,age
vie6u5cf,1,noun,auge,auge,target,upper-left,TRUE,2026-01-30T11:10:07Z,10967,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,2,verb,schweben,schweben,target,lower-left,TRUE,2026-01-30T11:10:14Z,4794,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,3,noun,moehre,moehre,target,lower-right,TRUE,2026-01-30T11:10:17Z,2919,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,4,noun,ameise,ameise,target,upper-right,TRUE,2026-01-30T11:10:22Z,3665,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,5,verb,jonglieren,werfen,dist1,lower-right,FALSE,2026-01-30T11:10:29Z,4913,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,6,noun,elch,skelett,dist3,upper-right,FALSE,2026-01-30T11:10:32Z,1229,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,7,noun,chor,tastatur,dist3,lower-left,FALSE,2026-01-30T11:10:44Z,5287,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,8,verb,torkeln,schnorcheln,dist2,upper-right,FALSE,2026-01-30T11:10:55Z,4281,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,9,verb,studieren,marschieren,dist2,upper-left,FALSE,2026-01-30T11:11:01Z,3626,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,10,verb,operieren,operieren,target,lower-left,TRUE,2026-01-30T11:11:10Z,6913,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,11,noun,ventilator,ventilator,target,lower-left,TRUE,2026-01-30T11:11:21Z,6137,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,12,verb,waehlen,ueberlegen,dist1,upper-right,FALSE,2026-01-30T11:11:30Z,8055,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,13,noun,rucola,drakula,dist2,upper-left,FALSE,2026-01-30T11:11:38Z,4621,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,14,verb,scheren,leeren,dist2,lower-right,FALSE,2026-01-30T11:11:45Z,4904,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,15,noun,giraffe,giraffe,target,upper-left,TRUE,2026-01-30T11:11:48Z,2429,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,16,noun,palme,kaktus,dist1,upper-right,FALSE,2026-01-30T11:12:09Z,16215,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,17,verb,tadeln,fluestern,dist3,upper-left,FALSE,2026-01-30T11:12:15Z,2873,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,18,noun,ananas,gitarre,dist2,upper-right,FALSE,2026-01-30T11:12:47Z,29509,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,19,verb,empfangen,verschicken,dist1,lower-left,FALSE,2026-01-30T11:12:54Z,3013,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,20,verb,verloben,heiraten,dist1,lower-right,FALSE,2026-01-30T11:12:59Z,3039,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,21,noun,ozean,ozean,target,upper-left,TRUE,2026-01-30T11:13:04Z,3001,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,22,verb,faulenzen,begrenzen,dist1,lower-right,FALSE,2026-01-30T11:13:09Z,2916,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,23,noun,gazelle,astronaut,dist3,lower-left,FALSE,2026-01-30T11:13:14Z,3685,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,24,verb,liefern,liefern,target,lower-left,TRUE,2026-01-30T11:13:19Z,2448,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,25,noun,pfifferling,schmetterling,dist2,lower-left,FALSE,2026-01-30T11:13:42Z,20810,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,26,verb,dekorieren,dekorieren,target,upper-right,TRUE,2026-01-30T11:13:49Z,3111,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,27,verb,bekennen,verstecken,dist1,lower-right,FALSE,2026-01-30T11:13:55Z,3591,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,28,noun,ruine,schiene,dist2,lower-left,FALSE,2026-01-30T11:14:04Z,2772,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,29,noun,labyrinth,labyrinth,target,lower-left,TRUE,2026-01-30T11:14:20Z,3068,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
vie6u5cf,30,noun,orchidee,zeh,dist2,upper-right,FALSE,2026-01-30T11:14:25Z,3100,2026-01-30,Männlich,Deutsch;;,2022-11-07,3.2306639288158796
